,country,D_first_wave,D_second_wave,D_third_wave
0,AT,9697.0,7355.0,1856.0
1,BE,24015.0,12406.0,2023.0
2,BG,17459.0,13783.0,10664.0
3,CH,9815.0,6663.0,1081.0
4,CY,344.0,266.0,226.0
5,CZ,26071.0,21921.0,5432.0
6,DE,83521.0,64294.0,13499.0
7,DK,2261.0,1535.0,516.0
8,EE,1106.0,913.0,536.0
9,EL,731.0,363.0,0.0
10,ES,76333.0,41014.0,9091.0
11,FI,946.0,538.0,273.0
12,FR,75998.0,48546.0,13504.0
13,HR,7316.0,5639.0,1329.0
14,HU,26196.0,21870.0,8337.0
15,IE,4503.0,2849.0,997.0
16,IS,43.0,12.0,4.0
17,IT,115462.0,70343.0,15644.0
18,LI,54.0,48.5,10.0
19,LT,8088.0,6635.0,4079.0
20,LU,741.0,547.0,115.0
21,LV,2321.0,1871.0,1788.0
22,MT,390.0,320.0,70.0
23,NL,16520.0,9313.0,3087.0
24,NO,807.0,514.0,302.0
25,PL,63030.0,50764.0,16245.0
26,PT,15106.0,11945.0,2867.0
27,RO,33639.0,24705.75,21081.25
28,SE,13511.0,7019.0,1491.0
29,SI,4447.0,3525.0,935.0
30,SK,10740.0,9525.0,4488.0
31,UK,118531.0,73193.0,24060.0
